book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
Railsea,0345524527,9780345524522,0345524527,2012.0,China Miéville,424,"['Fantasy', 'Science Fiction', 'Fiction', 'Young Adult', 'Steampunk', 'Dystopia', 'Adventure']",13354,3.89,"{'5 Stars': 3639, '4 Stars': 5718, '3 Stars': 3116, '2 Stars': 666, '1 Star': 215}"
Pegasus and the New Olympians,1444907514,9781444907513,B0092FJR5I,2012.0,Kate O'Hearn,372,"['Fantasy', 'Mythology', 'Middle Grade', 'Young Adult', 'Adventure', 'Fiction', 'Magic']",6201,4.39,"{'5 Stars': 3582, '4 Stars': 1695, '3 Stars': 728, '2 Stars': 158, '1 Star': 38}"
"To the Stars by Hubbard, L. Ron (2004) Hardcover",isbn not found,isbn13 not found,B00YTJUE2C,1950.0,L. Ron Hubbard,Hardcover,"['Science Fiction', 'Fiction', 'Audiobook', 'Adventure', 'Fantasy']",389,3.67,"{'5 Stars': 101, '4 Stars': 135, '3 Stars': 95, '2 Stars': 39, '1 Star': 19}"
The Whip,1601823029,9781601823021,1601823029,2012.0,Karen Kondazian,294,"['Book Club', 'Historical Fiction', 'Fiction', 'Westerns', 'Historical', 'Adventure', '19th Century']",7573,3.96,"{'5 Stars': 2564, '4 Stars': 2889, '3 Stars': 1541, '2 Stars': 445, '1 Star': 134}"
Lethal Circuit,0987775308,9780987775306,B005HK05OY,2011.0,Lars Guignard,350,"['Thriller', 'Fiction', 'Mystery', 'Adventure', 'Audiobook', 'Espionage', 'Action']",506,3.53,"{'5 Stars': 95, '4 Stars': 178, '3 Stars': 156, '2 Stars': 52, '1 Star': 25}"
Sundial,0983744203,9780983744207,0983744203,2011.0,C.F. Fruzzetti,328,"['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Science Fiction', 'Fiction', 'Adventure']",275,3.69,"{'5 Stars': 77, '4 Stars': 93, '3 Stars': 65, '2 Stars': 22, '1 Star': 18}"
Guardian Angel,0340999217,9780340999219,0340999217,2012.0,Robert Muchamore,352,"['Young Adult', 'Fiction', 'Espionage', 'Action', 'Thriller', 'Adventure', 'Childrens']",4947,4.25,"{'5 Stars': 2310, '4 Stars': 1721, '3 Stars': 771, '2 Stars': 115, '1 Star': 30}"
Black Friday,0340999233,9780340999233,0340999233,2013.0,Robert Muchamore,400,"['Young Adult', 'Fiction', 'Espionage', 'Action', 'Thriller', 'Adventure', 'Teen']",4163,4.32,"{'5 Stars': 2115, '4 Stars': 1379, '3 Stars': 563, '2 Stars': 84, '1 Star': 22}"
The False Prince,0545284139,9780545284134,0545284139,2012.0,Jennifer A. Nielsen,342,"['Fantasy', 'Young Adult', 'Middle Grade', 'Adventure', 'Fiction', 'Audiobook', 'Mystery']",105250,4.24,"{'5 Stars': 50219, '4 Stars': 35985, '3 Stars': 14300, '2 Stars': 3265, '1 Star': 1481}"
"Золотой Ключик, или Приключения Буратино",isbn not found,isbn13 not found,B0DTRRT6BY,1936.0,Aleksey Nikolayevich Tolstoy,128,"['Russia', 'Childrens', 'Fiction', 'Classics', 'Russian Literature', 'Fantasy', 'Adventure']",5237,4.05,"{'5 Stars': 2346, '4 Stars': 1403, '3 Stars': 999, '2 Stars': 362, '1 Star': 127}"
Spartacus: The Gladiator,1848093403,9781848093409,1848093403,2012.0,Ben Kane,448,"['Historical Fiction', 'Fiction', 'Historical', 'Roman', 'War', 'Fantasy', 'Adventure']",2911,4.07,"{'5 Stars': 1056, '4 Stars': 1191, '3 Stars': 517, '2 Stars': 112, '1 Star': 35}"
