book_title,isbn,isbn13,asin,year_first_published,author,num_pages,genres,num_ratings,average_rating,rating_distribution
The Sinner,isbn not found,isbn13 not found,B004RCNGXK,2011.0,Margaret Mallory,381,"['Historical Romance', 'Romance', 'Historical', 'Medieval', 'Audiobook', 'Historical Fiction', 'Scotland']",3778,4.13,"{'5 Stars': 1508, '4 Stars': 1463, '3 Stars': 643, '2 Stars': 128, '1 Star': 36}"
Sacrifice,0373210442,9780373210442,0373210442,2012.0,Cayla Kluver,438,"['Fantasy', 'Young Adult', 'Romance', 'Historical Fiction', 'Magic', 'Fiction', 'Historical']",2171,3.89,"{'5 Stars': 777, '4 Stars': 672, '3 Stars': 491, '2 Stars': 160, '1 Star': 71}"
My Darling Caroline,0515123692,9780515123692,0515123692,1998.0,Adele Ashworth,338,"['Historical Romance', 'Romance', 'Historical', 'Regency', 'Historical Fiction', 'Fiction', 'Regency Romance']",1540,3.79,"{'5 Stars': 455, '4 Stars': 554, '3 Stars': 348, '2 Stars': 126, '1 Star': 57}"
Stolen Charms,0515125652,9780515125658,0515125652,1999.0,Adele Ashworth,384,"['Historical Romance', 'Romance', 'Historical', 'Historical Fiction', 'Regency', 'Fiction', 'Adult']",678,3.55,"{'5 Stars': 144, '4 Stars': 227, '3 Stars': 200, '2 Stars': 71, '1 Star': 36}"
Ida: A Sword Among Lions,0060519215,9780060519216,0060519215,2008.0,Paula J. Giddings,800,"['History', 'Biography', 'Nonfiction', 'Race', 'Feminism', 'Politics', 'African American']",946,4.27,"{'5 Stars': 499, '4 Stars': 274, '3 Stars': 122, '2 Stars': 32, '1 Star': 19}"
Night Flame,0505523868,9780505523860,0505523868,1989.0,Catherine Hart,480,"['Historical Romance', 'Romance', 'Native American', 'Historical', 'Westerns', 'Western Romance', 'Historical Fiction']",302,4.23,"{'5 Stars': 153, '4 Stars': 87, '3 Stars': 43, '2 Stars': 16, '1 Star': 3}"
Mischief,0380777312,9780380777310,0380777312,1995.0,Catherine Hart,377,"['Historical Romance', 'Romance', 'Historical']",76,3.68,"{'5 Stars': 19, '4 Stars': 20, '3 Stars': 32, '2 Stars': 4, '1 Star': 1}"
Charmed,0821754416,9780821754412,0821754416,1996.0,Catherine Hart,408,"['Time Travel', 'Historical Romance', 'Romance', 'Historical Fiction', 'Historical', 'Fantasy', 'Native American']",170,4.02,"{'5 Stars': 73, '4 Stars': 48, '3 Stars': 35, '2 Stars': 7, '1 Star': 7}"
Forever Gold,0843938951,9780843938951,0843938951,1988.0,Catherine Hart,Paperback,"['Historical Romance', 'Romance', 'Western Romance', 'Westerns']",113,3.93,"{'5 Stars': 45, '4 Stars': 28, '3 Stars': 31, '2 Stars': 5, '1 Star': 4}"
Autobiografia,isbn not found,isbn13 not found,B006WOFIMI,1965.0,Edith Sitwell,195,"['Biography', 'Nonfiction', 'History', 'Memoir']",67,3.49,"{'5 Stars': 15, '4 Stars': 17, '3 Stars': 24, '2 Stars': 8, '1 Star': 3}"
Kit's Surprise: A Christmas Story,1584850205,9781584850205,1584850205,2000.0,Valerie Tripp,73,"['Historical Fiction', 'Childrens', 'Christmas', 'Historical', 'Fiction', 'Middle Grade', 'Juvenile']",2492,4.04,"{'5 Stars': 946, '4 Stars': 821, '3 Stars': 630, '2 Stars': 78, '1 Star': 17}"
Changes for Josefina: A Winter Story,1562475916,9781562475918,1562475916,1998.0,Valerie Tripp,80,"['Historical Fiction', 'Childrens', 'Historical', 'Fiction', 'Middle Grade', 'Juvenile', 'Audiobook']",1761,3.94,"{'5 Stars': 595, '4 Stars': 568, '3 Stars': 505, '2 Stars': 82, '1 Star': 11}"
The Immortal Highlander,0440237564,9780440237563,0440237564,2004.0,Karen Marie Moning,348,"['Romance', 'Paranormal Romance', 'Paranormal', 'Fantasy', 'Time Travel', 'Historical Romance', 'Historical']",37151,4.3,"{'5 Stars': 19050, '4 Stars': 12038, '3 Stars': 4787, '2 Stars': 879, '1 Star': 397}"
Kiss of the Highlander,044023655,9780440236559,044023655X,2001.0,Karen Marie Moning,396,"['Romance', 'Time Travel', 'Historical Romance', 'Paranormal Romance', 'Fantasy', 'Paranormal', 'Historical']",43715,4.29,"{'5 Stars': 21970, '4 Stars': 14511, '3 Stars': 5771, '2 Stars': 1029, '1 Star': 434}"
The Dark Highlander,0440237556,9780440237556,0440237556,2002.0,Karen Marie Moning,370,"['Romance', 'Time Travel', 'Paranormal Romance', 'Paranormal', 'Historical Romance', 'Fantasy', 'Historical']",38159,4.28,"{'5 Stars': 18934, '4 Stars': 12699, '3 Stars': 5159, '2 Stars': 971, '1 Star': 396}"
To Tame a Highland Warrior,0440242177,9780440242178,0440242177,1999.0,Karen Marie Moning,416,"['Romance', 'Historical Romance', 'Paranormal Romance', 'Paranormal', 'Fantasy', 'Historical', 'Time Travel']",34574,4.12,"{'5 Stars': 14264, '4 Stars': 12271, '3 Stars': 6406, '2 Stars': 1298, '1 Star': 335}"
"A Place Called Freedom: A Vast, Thrilling Work of Historical Fiction",isbn not found,isbn13 not found,B003GK2284,1995.0,Ken Follett,508,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Thriller', 'Romance', 'Scotland']",43454,4.07,"{'5 Stars': 15583, '4 Stars': 17477, '3 Stars': 8457, '2 Stars': 1554, '1 Star': 383}"
Kindred Hearts,1615818995,9781615818990,B009HUOY3I,2011.0,Rowan Speedwell,350,"['Historical', 'M M Romance', 'Romance', 'Historical Romance', 'Historical Fiction', 'LGBT', 'Regency']",1617,3.9,"{'5 Stars': 535, '4 Stars': 583, '3 Stars': 340, '2 Stars': 123, '1 Star': 36}"
Prince,1848544251,9781848544253,1848544251,2011.0,Rory Clements,432,"['Historical Fiction', 'Mystery', 'Historical', 'Historical Mystery', 'Fiction', 'Crime', 'Thriller']",1980,4.13,"{'5 Stars': 707, '4 Stars': 895, '3 Stars': 323, '2 Stars': 39, '1 Star': 16}"
The Roots of Betrayal,0755356047,9780755356041,0755356047,2011.0,James Forrester,404,"['Historical Fiction', 'Mystery', 'Fiction', 'Historical', 'Crime', 'Thriller', 'Elizabethan Period']",587,3.89,"{'5 Stars': 170, '4 Stars': 234, '3 Stars': 143, '2 Stars': 31, '1 Star': 9}"
The Seeing Stone,0752844296,9780752844299,0752844296,2000.0,Kevin Crossley-Holland,338,"['Fantasy', 'Historical Fiction', 'Young Adult', 'Arthurian', 'Fiction', 'Historical', 'Childrens']",5373,3.67,"{'5 Stars': 1209, '4 Stars': 1928, '3 Stars': 1634, '2 Stars': 457, '1 Star': 145}"
The Hedgewitch Queen,isbn not found,isbn13 not found,B004RD8512,2011.0,Lilith Saintcrow,498,"['Fantasy', 'Romance', 'Young Adult', 'Historical Fiction', 'Magic', 'Historical', 'Fiction']",2071,3.64,"{'5 Stars': 490, '4 Stars': 728, '3 Stars': 564, '2 Stars': 199, '1 Star': 90}"
What It is Like to Go to War,0802119921,9780802119926,0802119921,2011.0,Karl Marlantes,257,"['Nonfiction', 'History', 'War', 'Military Fiction', 'Memoir', 'Biography', 'Psychology']",9687,4.01,"{'5 Stars': 3610, '4 Stars': 3574, '3 Stars': 1696, '2 Stars': 569, '1 Star': 238}"
Knocking on Heaven's Door: How Physics and Scientific Thinking Illuminate the Universe and the Modern World,006172372,9780061723728,006172372X,2011.0,Lisa Randall,442,"['Science', 'Physics', 'Nonfiction', 'Philosophy', 'Popular Science', 'Religion', 'History']",2548,3.8,"{'5 Stars': 769, '4 Stars': 847, '3 Stars': 656, '2 Stars': 205, '1 Star': 71}"
Chenneville,0063252686,9780063252684,0063252686,2023.0,Paulette Jiles,307,"['Historical Fiction', 'Fiction', 'Westerns', 'Civil War', 'Audiobook', 'Mystery', 'Historical']",6073,4.09,"{'5 Stars': 2231, '4 Stars': 2545, '3 Stars': 998, '2 Stars': 239, '1 Star': 60}"
The Frozen River,0385546874,9780385546874,0385546874,2023.0,Ariel Lawhon,432,"['Historical Fiction', 'Book Club', 'Fiction', 'Mystery', 'Audiobook', 'Historical', 'Thriller']",362907,4.4,"{'5 Stars': 190382, '4 Stars': 134685, '3 Stars': 31955, '2 Stars': 4573, '1 Star': 1312}"
Le quattro ragazze Wieselberger,8804148381,9788804148388,8804148381,1976.0,Fausta Cialente,270,"['Italian Literature', 'Fiction', 'Audiobook', 'Historical Fiction', 'Classics']",223,3.63,"{'5 Stars': 37, '4 Stars': 94, '3 Stars': 69, '2 Stars': 19, '1 Star': 4}"
Beast,0380786443,9780380786442,0380786443,1997.0,Judith Ivory,384,"['Historical Romance', 'Romance', 'Historical', 'Beauty and The Beast', 'Historical Fiction', 'Fiction', 'Audiobook']",2389,3.51,"{'5 Stars': 554, '4 Stars': 745, '3 Stars': 634, '2 Stars': 288, '1 Star': 168}"
Passage to Pontefract,039912750,9780399127502,039912750X,1981.0,Jean Plaidy,366,"['Historical Fiction', 'Historical', 'British Literature', 'Plantagenet', 'Fiction', 'Medieval', '14th Century']",542,3.93,"{'5 Stars': 173, '4 Stars': 199, '3 Stars': 135, '2 Stars': 29, '1 Star': 6}"
The Eight,0345366239,9780345366238,0345366239,1988.0,Katherine Neville,598,"['Fiction', 'Mystery', 'Historical Fiction', 'Thriller', 'Fantasy', 'Adventure', 'Historical']",45056,3.93,"{'5 Stars': 15907, '4 Stars': 15632, '3 Stars': 9121, '2 Stars': 3087, '1 Star': 1309}"
